city,county,state,signer_count,latitude,longitude,coordinate_source
Woodstock,Mchenry,IL,355,42.3147,-88.4487,manual_existing
Crystal Lake,Mchenry,IL,79,42.2411,-88.3162,manual_existing
McHenry,Mchenry,IL,70,42.3334,-88.2668,manual_existing
Chicago,,IL,33,41.885847,-87.618123,us_cities_database
Lake in the Hills,Mchenry,IL,31,42.1817,-88.3304,manual_existing
Wonder Lake,Mchenry,IL,25,42.3853,-88.3476,manual_existing
Cary,Mchenry,IL,24,42.2119,-88.2381,manual_existing
Huntley,Mchenry,IL,23,42.1681,-88.4281,manual_existing
Harvard,Mchenry,IL,23,42.4222,-88.6137,manual_existing
Milwaukee,,WI,14,43.0343,-87.9151,us_cities_database
Algonquin,Mchenry,IL,13,42.1656,-88.2943,manual_existing
Marengo,Mchenry,IL,9,42.2486,-88.6084,manual_existing
Bull Valley,Mchenry,IL,7,42.3206,-88.3554,manual_existing
Rockford,,IL,7,42.292233,-89.116118,us_cities_database
Richmond,Mchenry,IL,5,42.4758,-88.3054,manual_existing
Lakemoor,Mchenry,IL,5,42.3272,-88.1987,manual_existing
Delavan,,WI,4,42.622715,-88.627717,us_cities_database
Spring Grove,Mchenry,IL,3,42.4436,-88.2365,manual_existing
Lake Villa,,IL,3,42.414796,-88.063318,us_cities_database
Round Lake,,IL,3,42.366809,-88.088819,us_cities_database
Elgin,,IL,3,42.038356,-88.260631,us_cities_database
Schaumburg,,IL,3,42.0333,-88.0833,us_cities_database
South Elgin,,IL,3,41.996868,-88.298558,us_cities_database
McCullom Lake,Mchenry,IL,2,42.3681,-88.2931,manual_existing
Johnsburg,Mchenry,IL,2,42.38,-88.242,manual_existing
Oak Park,,IL,2,41.888601,-87.798598,us_cities_database
Joliet,,IL,2,41.527154,-88.08241,us_cities_database
Bolingbrook,,IL,2,41.697605,-88.087315,us_cities_database
Mundelein,,IL,2,42.263616,-88.004762,us_cities_database
Brookfield,,WI,2,43.062173,-88.098,us_cities_database
Bartlett,,IL,2,41.983559,-88.160356,us_cities_database
Glenview,,IL,2,42.075785,-87.822299,us_cities_database
